CAND_ELECTION_YR,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,CAND_NAME,CONTRIB_TYPE,CONTRIB_AMT
1994,House,3,Republican,Corley,Other,5883
1994,House,3,Republican,Johnson,Individual,293837
1994,House,3,Republican,Johnson,Other,179355
1994,House,3,Republican,Schum,Individual,15853
1994,House,3,Republican,Schum,Other,6990
1994,House,4,Democratic,Hall,Individual,137849
1994,House,4,Democratic,Hall,Other,387827
1994,House,4,Republican,Bridges,Individual,25155
1994,House,4,Republican,Bridges,Other,20883
1994,House,4,Republican,Mccord,Individual,7235
1994,House,4,Republican,Mccord,Other,6038
1994,House,5,Democratic,Bryant,Individual,313125
1994,House,5,Democratic,Bryant,Other,424162
1994,House,5,Republican,Sessions,Individual,371634
1994,House,5,Republican,Sessions,Other,120789
1994,House,5,Republican,Stokley,Individual,3853
1994,House,5,Republican,Stokley,Other,10333
1994,House,6,Democratic,Jesmore,Individual,10767
1994,House,6,Democratic,Jesmore,Other,22728
1994,House,6,Republican,Barton,Individual,386948
1994,House,6,Republican,Barton,Other,330109
1994,House,6,Republican,Goode,Individual,34
1994,House,6,Republican,Goode,Other,605
1994,House,7,Republican,Archer,Individual,234764
1994,House,7,Republican,Archer,Other,49548
1994,House,7,Republican,Casas,Individual,5097
1994,House,7,Republican,Casas,Other,1906
1994,House,8,Republican,Fields,Individual,504781
1994,House,8,Republican,Fields,Other,691040
1994,House,9,Democratic,Brooks,Individual,267365
1994,House,9,Democratic,Brooks,Other,533560
1994,House,9,Democratic,Sam,Individual,3386
1994,House,9,Democratic,Sam,Other,9991
1994,House,9,Republican,Lecour,Individual,20197
1994,House,9,Republican,Lecour,Other,17039
1994,House,9,Republican,Stockman,Individual,199707
1994,House,9,Republican,Stockman,Other,69994
1994,House,10,Democratic,Doggett,Individual,979403
1994,House,10,Democratic,Doggett,Other,272268
1994,House,10,Democratic,Longsworth,Individual,1550
1994,House,10,Democratic,Longsworth,Other,18180
1994,House,10,Republican,Baylor,Individual,276872
1994,House,10,Republican,Baylor,Other,107554
1994,House,11,Democratic,Edwards,Individual,129689
1994,House,11,Democratic,Edwards,Other,266185
1994,House,11,Republican,Broyles,Individual,30719
1994,House,11,Republican,Broyles,Other,21017
1994,House,12,Democratic,Geren,Individual,341177
1994,House,12,Democratic,Geren,Other,756746
1994,House,12,Republican,Anderson,Individual,16015
1994,House,12,Republican,Anderson,Other,17323
1994,House,13,Democratic,Sarpalius,Individual,211294
1994,House,13,Democratic,Sarpalius,Other,313869
1994,House,13,Republican,Collins,Individual,10202
1994,House,13,Republican,Collins,Other,4462
1994,House,13,Republican,Thornberry,Individual,385712
1994,House,13,Republican,Thornberry,Other,73301
1994,House,14,Democratic,Laughlin,Individual,278519
1994,House,14,Democratic,Laughlin,Other,435925
1994,House,14,Republican,Deats,Individual,97950
1994,House,14,Republican,Deats,Other,176893
1994,House,15,Democratic,De La Garza,Individual,196649
1994,House,15,Democratic,De La Garza,Other,403121
1994,House,15,Democratic,Martinez,Individual,15149
1994,House,15,Democratic,Martinez,Other,34180
1994,House,15,Democratic,Ochoa,Individual,35248
1994,House,15,Democratic,Ochoa,Other,46678
1994,House,15,Republican,Abbott,Individual,68
1994,House,15,Republican,Abbott,Other,17422
1994,House,15,Republican,Haughey,Individual,22770
1994,House,15,Republican,Haughey,Other,7455
1994,House,15,Republican,Reeves,Individual,13850
1994,House,15,Republican,Reeves,Other,2679
1994,House,16,Democratic,Coleman,Individual,242724
1994,House,16,Democratic,Coleman,Other,459344
1994,House,16,Democratic,Crowley,Individual,34706
1994,House,16,Democratic,Crowley,Other,35500
1994,House,16,Republican,Bowen,Individual,4115
1994,House,16,Republican,Bowen,Other,10840
1994,House,16,Republican,Ledesma,Individual,2500
1994,House,16,Republican,Ledesma,Other,25000
1994,House,16,Republican,Ortiz,Individual,216527
1994,House,16,Republican,Ortiz,Other,109413
1994,House,17,Democratic,Stenholm,Individual,238929
1994,House,17,Democratic,Stenholm,Other,423859
1994,House,17,Republican,Boone,Individual,180386
1994,House,17,Republican,Boone,Other,17800
1994,House,17,Republican,Falls,Individual,0
1994,House,17,Republican,Falls,Other,0
1994,House,17,Republican,Schmidt,Individual,2970
1994,House,17,Republican,Schmidt,Other,1724
1994,House,18,Democratic,Lee,Individual,446233
1994,House,18,Democratic,Lee,Other,218890
1994,House,18,Democratic,Washington,Individual,141421
1994,House,18,Democratic,Washington,Other,253792
1994,House,18,Republican,Blum,Individual,0
1994,House,18,Republican,Blum,Other,0
1994,House,18,Republican,Burley,Individual,101320
1994,House,18,Republican,Burley,Other,15697
1994,House,19,Republican,Combest,Individual,177801
1994,House,19,Republican,Combest,Other,107377
1994,House,20,Democratic,Gonzalez,Individual,56975
1994,House,20,Democratic,Gonzalez,Other,59050
1994,House,21,Republican,Campbell,Individual,27172
1994,House,21,Republican,Campbell,Other,225
1994,House,21,Republican,Smith,Individual,372210
1994,House,21,Republican,Smith,Other,174429
1994,House,22,Democratic,Cunningham,Individual,8586
1994,House,22,Democratic,Cunningham,Other,140807
1994,House,22,Republican,Delay,Individual,269836
1994,House,22,Republican,Delay,Other,399174
1994,House,23,Democratic,Rios,Individual,234599
1994,House,23,Democratic,Rios,Other,198177
1994,House,23,Republican,Bonilla,Individual,625611
1994,House,23,Republican,Bonilla,Other,292209
1994,House,24,Democratic,Frost,Individual,795676
1994,House,24,Democratic,Frost,Other,813044
1994,House,24,Republican,Harris,Individual,3955
1994,House,24,Republican,Harris,Other,5000
1994,House,24,Republican,Harrison,Individual,371773
1994,House,24,Republican,Harrison,Other,204298
1994,House,24,Republican,Scarborough,Individual,13271
1994,House,24,Republican,Scarborough,Other,533
1994,House,25,Democratic,Bentsen,Individual,524945
1994,House,25,Democratic,Bentsen,Other,458432
1994,House,25,Democratic,Clark,Individual,18845
1994,House,25,Democratic,Clark,Other,23979
1994,House,25,Democratic,Colbert,Individual,126460
1994,House,25,Democratic,Colbert,Other,73937
1994,House,25,Democratic,Patman,Individual,242690
1994,House,25,Democratic,Patman,Other,89375
1994,House,25,Republican,Fontenot,Individual,83225
1994,House,25,Republican,Fontenot,Other,4576241
1994,House,25,Republican,Mckenna,Individual,206457
1994,House,25,Republican,Mckenna,Other,51850
1994,House,26,Democratic,Bryant,Individual,4455
1994,House,26,Democratic,Bryant,Other,9598
1994,House,26,Democratic,Coker,Individual,412
1994,House,26,Democratic,Coker,Other,1674
1994,House,26,Republican,Armey,Individual,883494
