County,ToPerc2002,ToPerc2004,ToPerc2006,ToPerc2008,ToPerc2010,ToPerc2012,ToPerc2014,ToPerc2016,ToPerc2018
Hays,0.40030203,0.598258676,0.602334045,0.606409414,0.40464665,0.615688336,0.372195964,0.605207537,0.593929627
Hemphill,0.545883362,0.537750808,0.529618254,0.700089127,0.518588235,0.699258573,0.363556724,0.727387997,0.602451839
Henderson,0.410825627,0.573709164,0.372166119,0.581788266,0.385880768,0.581591264,0.353124174,0.605170434,0.524454038
Hidalgo,0.278073269,0.420438752,0.427513887,0.434589023,0.250064083,0.496556067,0.260819601,0.52038438,0.422805623
Hill,0.410470223,0.572523118,0.41516035,0.594330401,0.40398453,0.560403612,0.408853575,0.574501643,0.506527993
Hood,0.439001056,0.653077612,0.44608727,0.656308499,0.474508645,0.66439122,0.380246776,0.691648599,0.61896539
Hopkins,0.398404089,0.600579305,0.394592603,0.589660522,0.411165633,0.613537958,0.613592718,0.613647477,0.527323371
Houston,0.38671875,0.562555066,0.38844491,0.576454938,0.452767282,0.626548402,0.360896445,0.466272746,0.571649047
Hudspeth,0.439039409,0.532082324,0.541670383,0.551258441,0.425810474,0.52879902,0.276020702,0.473369565,0.483333333
Hunt,0.35199363,0.550946214,0.359867096,0.589841973,0.368973569,0.596855984,0.604333917,0.61181185,0.520827265
Hutchinson,0.350861969,0.347307966,0.343753963,0.574537826,0.369554645,0.584143826,0.334698131,0.599074618,0.494503046
Irion,0.501202887,0.639039504,0.639832252,0.640625,0.5,0.615264798,0.335110434,0.582212257,0.567920184
Jack,0.443814735,0.435560722,0.427306709,0.606261288,0.437082067,0.630929589,0.365456821,0.668898956,0.55877106
Jackson,0.38281669,0.36661755,0.35041841,0.383447841,0.416477273,0.578522871,0.334924423,0.58535781,0.52161541
Jasper,0.355769689,0.606545149,0.367771966,0.593533702,0.396275342,0.633791694,0.319795818,0.571071791,0.525852972
Jeff Davis,0.576945582,0.627817482,0.650877116,0.67393675,0.614133834,0.787177792,0.624851367,0.735187424,0.686297376
Jefferson,0.347743375,0.564804388,0.291426713,0.583416353,0.378276147,0.623847135,0.367887501,0.59564486,0.506809978
Jim Hogg,0.385771308,0.497047012,0.48210483,0.467162648,0.277302205,0.449536424,0.190451479,0.554540842,0.395495024
Jim Wells,0.345890543,0.484569184,0.461272745,0.437976307,0.251584555,0.442274942,0.22871615,0.473577006,0.38088732
Johnson,0.371878203,0.591204028,0.369427854,0.606855157,0.381744121,0.616129887,0.348312201,0.632395838,0.543444603
Jones,0.441864855,0.405928124,0.369991393,0.57294818,0.384377802,0.574657394,0.341831057,0.593069307,0.50302054
Karnes,0.404106338,0.522694161,0.540376757,0.558059352,0.384106802,0.54305754,0.331243603,0.539576506,0.517396184
Kaufman,0.411822309,0.598030948,0.351966605,0.600920413,0.345129836,0.611459778,0.334063794,0.618994794,0.533067243
Kendall,0.465827242,0.688345828,0.696787844,0.705229861,0.528134093,0.715800424,0.44682602,0.702910017,0.651862793
